uid,rest_id,source,text,rating
g_ChIJzRCbxRVZwokRDAzYpDpbyG4_3,ChIJzRCbxRVZwokRDAzYpDpbyG4,google_places,"I haven’t been to New York in over 10yrs and had to find a Pho spot. Google showed 4.8 stars so I had to come try it for myself. The place was full so reservations and queues are a given. Came alone so I was able to get a seat at the bar fairly quick since someone cancelled. I had the Wagyu Pho (flavorful and no additives needed) with added meatballs (soft and juicy), the Sugarcane Shrimp (tastes like shrimp patty), and Steamed Rice Cake (a little on the oily side but amazing!!). Amazingly delicious!!!! The services provided by both bartenders Sophia and Nikki were amazing and had great recommendations on what to try. They made it feel like I was with friends and didn’t feel like I was having dinner alone! Truly love the food and atmosphere here!!! Highly recommend this place.",5
g_ChIJzRCbxRVZwokRDAzYpDpbyG4_4,ChIJzRCbxRVZwokRDAzYpDpbyG4,google_places,"We really enjoyed all the food we got here. Their bon bo hue is very authentic, I rarely have places serving with all the ingredients it supposed to come. This place does it. They are on the fancier side but everything tastes fantastic. I highly recommend this place. I especially loved the morning glory and sauteed mussels. Definitely give it a go if you are in the area it is also very easy to get there it's right outside metro not even a block. Vietnamese coffee was also great we had several of them. Overall I really love this place will definitely come back for sure.",5
g_ChIJT_JHTgFZwokRXleXHadsVaE_0,ChIJT_JHTgFZwokRXleXHadsVaE,google_places,"I came here for my birthday and opted for the sake pairing, and it turned out to be one of the most memorable dining experiences I’ve ever had. The food was immaculate, deeply rooted in Japanese culture while preserving the art of sushi-making that has been practiced for hundreds of years.

Every course came with a story, which made the experience feel thoughtful. One highlight was learning about ice aging, a technique they use for one of their pieces, which completely changed how I think about texture and flavor in sushi. The staff was incredibly welcoming and meticulous, taking the time to explain not just what we were eating, but the process, technique, and history behind each piece. The sake pairing was top notch, with responsible pours that enhanced the meal without getting wasted.

During the okonomi section, I added eight extra pieces as a birthday treat and to explore more of the menu. My favorite was the ankimo sushi with pickled watermelon. The ankimo melted in my mouth and was genuinely life-changing, worth the extra cost. To end the night, the chef surprised me with a gift of chopsticks and a chirashi box, which you usually need to get for $70. Again, top notch hospitality.

If you’re looking for a special experience and appreciate the artistry of Japanese culinary, this is absolutely worth it.",5
g_ChIJT_JHTgFZwokRXleXHadsVaE_1,ChIJT_JHTgFZwokRXleXHadsVaE,google_places,"Very different experience omakase with traditional Japanese bites. The omakase was unique in that the flavors, fish, and selection was extremely different from your normal Omakase of trying 20 different sashimi.

Lots of bites were ranging from fish, to tofu, to fruit. You had to eat a pear, different soups, and a small ice cream and cold noodles at the end.

Strictly no pictures allowed inside.

It is definitely different and if you prefer the original sushi only type of omakase this place isn’t for you.",5
g_ChIJT_JHTgFZwokRXleXHadsVaE_2,ChIJT_JHTgFZwokRXleXHadsVaE,google_places,"I was Dining at Sushi Sho few weeks ago. It felt less like sitting down for dinner and more like stepping quietly into an artist’s studio.
The multi-course tasting unfolds slowly, thoughtfully—each piece presented with the precision and beauty of a small sculpture. Every bite is perfectly balanced: the rice warm and delicate, the fish pristine, the flavors layered in a way that feels both simple and profound. Nothing is rushed. Nothing is excessive. Just purity, technique, and extraordinary taste.
What makes the experience unforgettable is the intimacy of the counter. You watch the chef create each course just inches away. His hands move with calm confidence, shaping rice, slicing fish, placing each piece together as if composing a painting. You can see the concentration, the pride, the quiet joy of someone who has dedicated a lifetime to mastering a craft.
Each course arrives like a small masterpiece—beautiful, intentional, and fleeting. For a moment it exists only for you, before dissolving into a perfect bite.
By the end of the tasting menu, you realize you haven’t just had an exceptional meal. You’ve witnessed devotion, artistry, and the rare magic that happens when skill and passion meet at the same counter.
An unforgettable experience, and truly one of the most extraordinary culinary performances in New York.",5
g_ChIJT_JHTgFZwokRXleXHadsVaE_3,ChIJT_JHTgFZwokRXleXHadsVaE,google_places,"In my opinion, this is the only destination-worthy sushiya outside of Japan.

Nakazawa-san is a legend and his style is singular, with many original creations.

His NYC shop evolved the legacy of his Yotsuya and Honolulu locations.

The focus of the meal here is mastery of the history of sushi, including various forms of preservation and fermentation. It is not the place to come to if you expect piles of toro, uni or caviar.

Diners should also be aware that at all Sushi Sho locations, service is split between two chefs. So a reservation does not guarantee that you will be seated with the more senior chef. There is no detectable impact on the food or pacing in my opinion.

Similarly, at all Sushi Sho locations the okonomi portion of the meal, including presentation of all the add-on items, is typical. Whether this format suits you is a matter of personal taste.",5
g_ChIJT_JHTgFZwokRXleXHadsVaE_4,ChIJT_JHTgFZwokRXleXHadsVaE,google_places,"Some friends and I did pick-up of the Bara Chirashi boxes and enjoyed them in Bryant Park. All of the fish was fresh, cut beautifully and seasoned perfectly. Pick up is simple, you bring the doorbell and the greeter welcomes you in, just have to give your confirmation code and name for the order. Would highly recommend the pick-up options for a nice sample of their cuisine for a more informal setting outside of the restaurant.",5
g_ChIJjybX-nVZwokRbnwwPvjMw4o_0,ChIJjybX-nVZwokRbnwwPvjMw4o,google_places,"Everything about Four Twenty Five feels like a modern love letter to New York City glamour. The moment you step inside, you know you are in for something special.  I like what they do during restaurant week, they change up the menu each week. Of course I am going back to taste something else.  The butternut squash soup with cabbage dumplings was flavorful.  The pan roasted Hake, was creative genius and was plated superbly. The apple confit was the perfect ending.  I enjoyed hearing about the vineyard and the tasting notes for the wine I had selected. This place is special and I highly recommend it.",5
g_ChIJjybX-nVZwokRbnwwPvjMw4o_1,ChIJjybX-nVZwokRbnwwPvjMw4o,google_places,"Per usual another great Jean Georges restaurant. #18 for us!  The server, Christian (sorry if I misspelled it) was absolutely fabulous. We shared great stories as he provided wonderful food! The coddled egg with caviar was insane!  Also loved the tempura squash. The tuna tartare was amazing. Can not wait for #19!",5
g_ChIJjybX-nVZwokRbnwwPvjMw4o_2,ChIJjybX-nVZwokRbnwwPvjMw4o,google_places,"I really enjoyed the cocktails here and would definitely return for drinks. However, the host staff were surprisingly unaccommodating. We were seated much later than our reservation, and they prioritized other newly arrived parties before us, even though we checked on our table three times while at the bar.

The highlight of the dinner was definitely the amuse-bouche. While the fluke sashimi and kampachi were good, they didn’t blow me away. The roasted chicken was decent, but the flavorful skin was the only standout part. The crab tagliatelle was overwhelmed by dill, making it hard to appreciate other flavors; it felt very unbalanced.

The strawberry shortcake and banana custard were delicious, but not quite enough to justify the price of the meal. On a positive note, they suggested a fantastic bottle of wine. Overall, I would return for the drinks but would skip the meal next time.",3
